Glossier,1323830,7,www.glossier.com,"New York, NY",Retail,Beauty & Personal Accessories Stores,,201 to 500 employees,https://grnh.se/174e1f561us
Haven Life,966817,7,www.havenlife.com,"New York, NY",Insurance,Insurance Agencies & Brokerages,,201 to 500 employees,https://grnh.se/4299e77f2
inMarket Media,1080877,7,www.inmarket.com,"Venice, CA",,,,1 to 50 employees,https://grnh.se/d85a84ef1us
Instacart,714486,7,www.instacart.com/store,"San Francisco, CA",Information Technology,Internet,,501 to 1000 employees,https://grnh.se/8ef3b05e1
Intercom,1035935,7,www.intercom.io,"San Francisco, CA",Information Technology,Computer Hardware & Software,,501 to 1000 employees,https://grnh.se/6556efb61us
LendUp,939161,7,www.lendup.com,"Oakland, CA",Finance,Lending,,51 to 200 employees,https://grnh.se/f91062681us
Linqia,778444,7,www.linqia.com,"San Francisco, CA",Business Services,Advertising & Marketing,,51 to 200 employees,https://grnh.se/645d123e2us
Memphis Meats,1816262,7,www.memphismeats.com,"Berkeley, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,1 to 50 employees,https://grnh.se/0a4976213us
MiQ,719780,7,www.wearemiq.com,"London, United Kingdom",Business Services,Advertising & Marketing,,501 to 1000 employees,https://grnh.se/0b9123a72us
New Visions for Public Schools,423656,7,www.newvisions.org,"New York, NY",Education,K-12 Education,,501 to 1000 employees,https://grnh.se/2bb248a71us
Relativity,1771815,7,www.kcura.com,"Chicago, IL",Information Technology,Enterprise Software & Network Solutions,,1001 to 5000 employees,https://grnh.se/309808ee2
Rubrik,955861,7,www.rubrik.com,"Palo Alto, CA",Information Technology,Enterprise Software & Network Solutions,,1001 to 5000 employees,https://grnh.se/0d65b8931us
SiFive,1922671,7,www.sifive.com,"San Mateo, CA",Information Technology,Computer Hardware & Software,,201 to 500 employees,https://grnh.se/f09230653us
Verily Life Sciences,1267780,7,www.verily.com,"South San Francisco, CA",Health Care,Health Care Services & Hospitals,,501 to 1000 employees,https://grnh.se/f986f6091us
BounceX,807088,7,www.bounceexchange.com,"New York, NY",Business Services,Advertising & Marketing,,201 to 500 employees,https://grnh.se/a6399ab41us
23andMe,145899,6,www.23andme.com,"Sunnyvale, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,501 to 1000 employees,https://grnh.se/2ce8edf22us
Adjust,960959,6,www.adjust.com,"Berlin, Germany",Business Services,Advertising & Marketing,,51 to 200 employees,https://grnh.se/78df4a012us
